manual_relative_path	family	classification	selected	run_dirs	valid_runs	valid_parquets	valid_parquet_bytes	small_or_bad_parquets	positive_summary_files	explicit_failure_files	copied_files	copied_bytes	reason
orin_nx_hailo10_01/native_native_full_tensorrt_yolo26s_full_orin_nx_hailo10_01/20260717_213341	-	REVIEW_VALID_UNCURATED	False	1	1	1	693677	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_tensorrt_yolo26s_full_orin_nx_hailo10_01/20260718_072347	-	REVIEW_VALID_UNCURATED	False	1	1	1	693681	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b039/20260702_040512	-	REVIEW_VALID_UNCURATED	False	3	3	3	2290981	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260702_040851	-	REVIEW_VALID_UNCURATED	False	3	3	3	2288193	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260703_002437	-	REVIEW_VALID_UNCURATED	False	3	3	3	2240463	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260703_141923	-	REVIEW_VALID_UNCURATED	False	3	3	3	2239987	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260707_193925	-	REVIEW_VALID_UNCURATED	False	3	3	3	2240111	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260708_231735	-	REVIEW_VALID_UNCURATED	False	3	3	3	2239555	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260709_122645	-	REVIEW_VALID_UNCURATED	False	3	3	3	2239563	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260710_004936	-	REVIEW_VALID_UNCURATED	False	3	3	3	2239955	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260710_155317	-	REVIEW_VALID_UNCURATED	False	3	3	3	2240347	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo8_01/native_hailo8_to_trt_resnet50_b052/20260711_002910	-	REVIEW_VALID_UNCURATED	False	3	3	3	2240351	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
